variant,rule,scope,trades,total_return,max_drawdown,profit_factor,win_rate,folds_positive,triggers,recent_modified
baseline,baseline,48mo_wf,123,1.3971207841215842,0.04638286174964503,3.350818995578469,0.5853658536585366,16/20,0,0
baseline,baseline,last_24mo,79,0.8479882371436065,0.04404371990226575,3.3099978635097127,0.5949367088607594,,,
baseline,baseline,last_12mo,41,0.4965050741409167,0.0440437199022657,4.6698222922777175,0.6829268292682927,,,
baseline,baseline,last_6mo,24,0.19535687857414907,0.044043719902265875,3.269819630543617,0.625,,,
baseline,baseline,last_3mo,13,0.08558531545686221,0.04404371990226575,2.3561898016887515,0.5384615384615384,,,
R1_pf_pause,R1,48mo_wf,47,0.299647402319106,0.018380033878917894,3.317423046595672,0.5531914893617021,7/20,4388,0
R1_pf_pause,R1,last_24mo,47,0.299647402319106,0.018380033878917894,3.317423046595672,0.5531914893617021,,,
R1_pf_pause,R1,last_12mo,39,0.2523246121774274,0.018380033878917883,3.296235626444321,0.5641025641025641,,,
R1_pf_pause,R1,last_6mo,17,0.09471265920954375,0.018380033878917748,2.3303879358569004,0.47058823529411764,,,
R1_pf_pause,R1,last_3mo,7,-0.012577657384397756,0.01816331792551873,0.625278785778587,0.2857142857142857,,,
R2_consec_loss,R2,48mo_wf,123,1.357031554398541,0.04638286174964503,3.3274779771179697,0.5853658536585366,16/20,265,1
R2_consec_loss,R2,last_24mo,79,0.8170826501347843,0.040935293525909924,3.27678052302747,0.5949367088607594,,,
R2_consec_loss,R2,last_12mo,41,0.5018699289136421,0.040616690685713754,4.822058398538889,0.6829268292682927,,,
R2_consec_loss,R2,last_6mo,24,0.19964214039246264,0.040616690685713976,3.4206878886648977,0.625,,,
R2_consec_loss,R2,last_3mo,13,0.08947705472421674,0.04061669068571372,2.497286421332164,0.5384615384615384,,,
R3_30d_return,R3,48mo_wf,123,1.3971207841215842,0.04638286174964503,3.350818995578469,0.5853658536585366,16/20,84,0
R3_30d_return,R3,last_24mo,79,0.8479882371436065,0.04404371990226575,3.3099978635097127,0.5949367088607594,,,
R3_30d_return,R3,last_12mo,41,0.4965050741409167,0.0440437199022657,4.6698222922777175,0.6829268292682927,,,
R3_30d_return,R3,last_6mo,24,0.19535687857414907,0.044043719902265875,3.269819630543617,0.625,,,
R3_30d_return,R3,last_3mo,13,0.08558531545686221,0.04404371990226575,2.3561898016887515,0.5384615384615384,,,
R4_stop_freq,R4,48mo_wf,123,0.7351921227675686,0.04093529352591001,3.1048557700193533,0.5853658536585366,16/20,4867,7
R4_stop_freq,R4,last_24mo,79,0.44881186869625456,0.04093529352590992,2.8967164531502365,0.5949367088607594,,,
R4_stop_freq,R4,last_12mo,41,0.23683644990373387,0.03415382838696062,3.5679055078901905,0.6829268292682927,,,
R4_stop_freq,R4,last_6mo,24,0.10237935340049198,0.03415382838696084,2.5129983284866406,0.625,,,
R4_stop_freq,R4,last_3mo,13,0.03776318913208221,0.03415382838696076,1.7734887052829258,0.5384615384615384,,,
R5_hmm_adverse,R5,48mo_wf,123,0.971514694912283,0.03136129704125811,3.603600904232992,0.5853658536585366,16/20,57,9
R5_hmm_adverse,R5,last_24mo,79,0.538022491546035,0.029965522473983673,3.2629956874663293,0.5949367088607594,,,
R5_hmm_adverse,R5,last_12mo,41,0.34116198641059037,0.02871187366034558,4.682103903558717,0.6829268292682927,,,
R5_hmm_adverse,R5,last_6mo,24,0.11227365943784506,0.028711873660345468,2.8264550948049423,0.625,,,
R5_hmm_adverse,R5,last_3mo,13,0.0418465742442633,0.028711873660345506,2.0109553274549796,0.5384615384615384,,,
R6_vol_quartile,R6,48mo_wf,123,0.7270926099455037,0.020994337262136138,4.629063454899905,0.5853658536585366,16/20,42,11
R6_vol_quartile,R6,last_24mo,79,0.3644507904534642,0.018798823164936845,3.8758777985830926,0.5949367088607594,,,
R6_vol_quartile,R6,last_12mo,41,0.2542001860632046,0.014418563954633687,7.420623378384144,0.6829268292682927,,,
R6_vol_quartile,R6,last_6mo,24,0.10417969462134158,0.014418563954633389,5.096926450444841,0.625,,,
R6_vol_quartile,R6,last_3mo,13,0.05208593253723892,0.01441856395463352,3.698546551567676,0.5384615384615384,,,
