variant,window_months,trades,total_return,max_drawdown,profit_factor,win_rate,return_per_exposure,stop_freq,mean_overlay_multiplier
baseline_funding_vol,48,123,0.7333737681114638,0.02023694610998416,4.529913012702051,0.5853658536585366,1.3314387229182296,0.943089430894309,0.5508130081300813
baseline_funding_vol,3,10,0.035748305354163845,0.015249756932939,2.865704752469204,0.5,0.08937076338540961,0.9,0.4
baseline_funding_vol,6,23,0.12303594345838031,0.01524975693293891,5.842821763692872,0.6521739130434783,0.22194719212099978,0.9565217391304348,0.5543478260869565
baseline_funding_vol,12,37,0.2205094980368787,0.015249756932938842,6.15429804874597,0.6486486486486487,0.3794814617378843,0.9459459459459459,0.581081081081081
baseline_funding_vol,24,74,0.3727650597385006,0.015249756932938957,4.126540192274536,0.6216216216216216,0.7307182627986503,0.918918918918919,0.5101351351351351
baseline_funding_vol_plus_adx,48,63,0.3531761038214565,0.012099164276444183,4.617077764641792,0.5714285714285714,0.7007903792362759,0.9206349206349206,0.503968253968254
baseline_funding_vol_plus_adx,3,8,0.0313518065829419,0.012099164276444231,2.969855006439581,0.5,0.0771736777426262,0.875,0.40625
baseline_funding_vol_plus_adx,6,12,0.07823821175276535,0.012099164276444105,5.780652238635081,0.6666666666666666,0.1564764235055307,0.9166666666666666,0.5
baseline_funding_vol_plus_adx,12,18,0.12276537987097513,0.012099164276444009,5.598764823699589,0.6666666666666666,0.23889479326243812,0.8888888888888888,0.5138888888888888
baseline_funding_vol_plus_adx,24,39,0.20289416822899065,0.012099164276443952,4.335800003450431,0.6410256410256411,0.4277228411313857,0.8974358974358975,0.47435897435897434
