asset,direction,setup,entry_time,exit_time,bars_held,entry_price,stop_price,final_stop_price,exit_price,gross_return_pct,net_return_pct,exit_reason,supertrend_direction_4h,supertrend_line_4h,close_prev_4h,supertrend_distance_pct_4h,supertrend_direction_1h,agree_1h_4h,supertrend_direction_1d,agree_1d_4h,realized_vol_24,realized_vol_band,vol_q25,vol_q75,funding_rate,funding_percentile,next_bar_adverse_overshoot_pct
ETH/USDT,short,supertrend_short,2026-02-15T20:00:00+00:00,2026-02-25T00:00:00+00:00,55,1965.59671,2113.912325093273,1934.389882301113,1935.3570772422634,0.015384454300260133,0.0033461135750650333,stop,-1,2113.912325093273,1942.23,-0.08839443582545475,-1,True,-1,True,0.01598794367656848,high,0.00942184378598789,0.015425682084490813,-7.55e-05,18.61111111111111,0.007938195012546605
BTC/USDT,short,supertrend_short,2026-02-18T12:00:00+00:00,2026-02-25T12:00:00+00:00,42,67660.16299499999,70481.34659608756,66314.34543117096,66347.50260388655,0.019400786711235803,0.00435019667780895,stop,-1,70481.34659608756,67369.75,-0.046186850865374475,-1,True,-1,True,0.008614919391780813,mid,0.00588924098434542,0.009433597252737073,-1.41e-06,34.72222222222222,0.000691352236373826
BTC/USDT,short,supertrend_short,2026-02-28T08:00:00+00:00,2026-02-28T20:00:00+00:00,3,63812.2779,68224.21050064378,67540.3634505794,67574.13363230469,-0.058951911075794464,-0.015237977768948616,stop,-1,68224.21050064378,63826.0,-0.06890938646701623,-1,True,-1,True,0.013542323268282145,high,0.00588924098434542,0.009433597252737073,-3.727e-05,17.77777777777778,0.024262291692928283
ETH/USDT,short,supertrend_short,2026-02-27T20:00:00+00:00,2026-03-01T00:00:00+00:00,7,1928.87508,2079.090870263014,2013.2404609795635,2014.2470812100532,-0.044259994903378196,-0.01156499872584455,stop,-1,2079.090870263014,1921.1,-0.08223979504607472,-1,True,-1,True,0.01617673255436863,high,0.00942184378598789,0.015425682084490813,-0.00011015,11.11111111111111,0.004300392537602823
ETH/USDT,short,supertrend_short,2026-03-07T20:00:00+00:00,2026-03-09T16:00:00+00:00,11,1968.605205,2085.199981018348,2049.0072939915244,2050.03179763852,-0.041362581197950186,-0.010840645299487547,stop,-1,2085.199981018348,1955.2,-0.06648935199383585,-1,True,-1,True,0.017127733062612647,high,0.00942184378598789,0.015425682084490813,-2.26e-05,56.111111111111114,0.004442127338579215
BTC/USDT,short,supertrend_short,2026-03-07T08:00:00+00:00,2026-03-10T00:00:00+00:00,16,67976.004995,71396.72378369048,69738.93876471113,69773.80823409348,-0.026447615437619795,-0.007111903859404949,stop,-1,71396.72378369048,67842.67,-0.0523867027003873,-1,True,1,False,0.013277991866432302,high,0.00588924098434542,0.009433597252737073,6.19e-06,57.49999999999999,0.0016094650606203636
ETH/USDT,long,supertrend,2026-03-24T08:00:00+00:00,2026-03-26T12:00:00+00:00,13,2166.98295,1999.759721046746,2056.8399061510236,2055.8114861979484,-0.05130241740113907,-0.013325604350284768,stop,1,1999.759721046746,2165.61,0.076583631841954,1,True,1,True,0.012876363455893389,mid,0.00942184378598789,0.015425682084490813,2.122e-05,72.77777777777777,0.021681273495945168
BTC/USDT,short,supertrend_short,2026-03-27T12:00:00+00:00,2026-03-31T00:00:00+00:00,21,66079.76359000002,70855.9214821128,68400.31607027215,68434.51622830729,-0.0356350039766731,-0.009408750994168276,stop,-1,70855.9214821128,66702.78,-0.062263394151080335,-1,True,1,False,0.009931455081605024,high,0.00588924098434542,0.009433597252737073,-6.298e-05,9.722222222222223,0.0031815551173036984
BTC/USDT,long,supertrend,2026-04-13T20:00:00+00:00,2026-04-19T20:00:00+00:00,36,74455.198995,69829.99294306114,74222.98555449538,74185.87406171813,-0.0036172750448219635,-0.0014043187612054909,stop,1,69829.99294306114,73322.82,0.04763628917898779,1,True,1,True,0.008700462849716574,mid,0.00588924098434542,0.009433597252737073,-5.409e-05,13.055555555555557,0.006720000775682545
BTC/USDT,long,supertrend,2026-04-22T04:00:00+00:00,2026-04-27T12:00:00+00:00,32,78051.79639499998,73700.8092836235,76889.30562505346,76850.86097224093,-0.015386390553798762,-0.0043465976384496905,stop,1,73700.8092836235,77521.48,0.04928531700344853,1,True,1,True,0.00869506218995779,mid,0.00588924098434542,0.009433597252737073,-2.237e-05,38.88888888888889,0.0014119648757635304
